packet_count,total_length,avg_packet_interval,max_packet_interval,most_common_packet_interval,avg_packet_length,max_packet_length,min_packet_length,most_common_packet_length,avg_payload_length,avg_header_length,network,session
493,429651,0.11083227113821138,8.7205349,0.0,871.5030425963489,8334,54,60,81.56997971602433,789.9330628803245,target,07
291,195020,0.1828175024137931,10.982030299999998,0.0,670.171821305842,2886,54,60,64.3573883161512,605.8144329896908,target,08
479,398184,0.11153488305439331,6.137412300000001,0.0,831.2818371607516,5574,54,60,35.90187891440501,795.3799582463465,target,09
605,538815,0.09850899370860927,10.3591288,0.0,890.603305785124,23514,54,60,122.87107438016528,767.7322314049587,target,10
332,241533,0.16136780302114803,7.0136121,0.0,727.5090361445783,2981,54,60,12.506024096385541,715.0030120481928,target,11
603,520796,0.09504608122923588,8.320231,0.0,863.6749585406302,9714,54,60,81.06633499170813,782.6086235489221,target,12
720,643582,0.08297630848400556,5.8105832,0.0,893.8638888888889,11094,54,60,94.45,799.4138888888889,target,13
580,533187,0.09338517651122626,5.984503800000001,0.0,919.2879310344828,9714,54,60,121.52068965517242,797.7672413793103,target,14
1249,1777323,0.04563721113782051,13.673879199999998,0.0,1422.9967974379504,13854,54,60,459.1681345076061,963.8286629303443,target,15
687,534620,0.08582787405247813,6.8334665,0.0,778.1950509461426,2927,54,60,8.988355167394468,769.2066957787482,target,16
453,461210,0.1297522342920354,14.458805099999996,0.0,1018.1236203090508,8334,54,60,161.75938189845473,856.364238410596,target,17
333,262996,0.17411753765060242,14.973036099999998,0.0,789.7777777777778,2941,54,60,16.27027027027027,773.5075075075075,target,18
528,466021,0.11377353889943075,10.570658000000002,0.0,882.6155303030303,5574,54,60,93.33712121212122,789.2784090909091,target,19
459,375045,0.11736620305676855,9.832311,0.0,817.0915032679738,2954,54,60,9.474945533769063,807.6165577342048,target,20
670,343186,0.08859236367713005,9.1291391,0.0,512.2179104477611,7334,54,56,37.36268656716418,474.855223880597,target,21
477,198788,0.12269041827731092,8.330602599999999,0.0,416.7463312368973,2282,54,56,13.716981132075471,403.0293501048218,target,22
1533,8887805,0.03599776063968668,9.434444800000001,0.0,5797.654924983692,64118,54,54,470.68688845401175,5326.96803652968,target,23
718,1298648,0.08357130251046026,6.064973999999999,0.0,1808.7019498607242,61206,54,56,322.7409470752089,1485.9610027855153,target,24
453,277085,0.13109579977876104,14.606271099999997,0.0,611.6666666666666,2553,54,56,33.95364238410596,577.7130242825607,target,25
360,252330,0.16711621281337047,9.859732100000002,0.0126351,700.9166666666666,2544,54,56,20.177777777777777,680.7388888888889,target,26
441,313674,0.1321348825,6.652692900000002,5.3999999998666226e-05,711.2789115646259,2966,54,56,15.82766439909297,695.4512471655329,target,27
978,7102237,0.056662769600818834,9.667196,0.0,7262.001022494887,64118,54,54,1444.1932515337423,5817.807770961145,target,28
340,285409,0.1767931250737463,14.036033199999999,0.0,839.4382352941177,32086,54,56,77.37058823529412,762.0676470588236,target,29
400,272506,0.14117766666666667,15.5692916,0.0,681.265,2542,54,56,38.0475,643.2175,target,30
270,183621,0.21667560743494424,8.958824200000002,0.0001721,680.0777777777778,2551,54,56,18.914814814814815,661.162962962963,target,31
482,305291,0.11780366216216216,8.7593514,0.0,633.3838174273859,14614,54,56,62.39626556016597,570.98755186722,target,32
645,401338,0.09189276164596273,9.4864356,0.0,622.2294573643411,56838,54,56,29.493023255813952,592.7364341085271,target,33
592,760155,0.09470532538071066,8.0758217,0.0,1284.0456081081081,30630,54,56,266.5320945945946,1017.5135135135135,target,34
627,390559,0.08004975479233227,9.503051,0.0,622.9011164274323,43734,54,56,51.40829346092504,571.4928229665072,target,35
304,129412,0.18018123597359736,8.336404599999998,0.0,425.69736842105266,2040,54,56,18.6875,407.00986842105266,target,36
495,348714,0.11141126781376517,7.365620999999997,0.0,704.4727272727273,2556,54,56,30.13131313131313,674.3414141414141,target,37
414,236268,0.14527068450363195,10.667662100000001,0.0,570.695652173913,2554,54,56,7.915458937198068,562.7801932367149,target,38
195,82903,0.29778311237113403,7.193976899999999,0.000247,425.14358974358976,1785,54,56,1.2153846153846153,423.92820512820515,target,39
367,171832,0.14769733169398908,11.044082700000004,0.0,468.20708446866485,2605,54,56,3.103542234332425,465.10354223433245,target,40
